"","recipient","removal_rate","partners","acts_per_day","transmission_risk_per_act","transmission_risk_per_day","source","infectionTime","sampleTime","cumulative_partners","cumulative_transmissions"
"1",1,0.001,1,0.181271288730204,0.00191591827444993,0.000347573682683233,0,0,1563,0,2
"2",2,0.001,0,0.168022039951757,0.00178258202680753,0,0,0,365,0,0
"3",3,0.001,2,0.0880301413591951,0.00189392370516821,0.00033370520970688,0,0,365,0,0
"4",4,0.001,2,0.207676633587107,0.0020956508729147,0.000870969263456756,0,0,568,0,2
"5",5,0.001,0,0.0738891040440649,0.00214379369350467,0,0,0,365,0,0
"6",6,0.001,3,0.147397998394445,0.00222796475453542,0.000985805530160366,0,0,365,0,0
"7",7,0.001,1,0.311336032288585,0.00205770428492777,0.00064109192722539,0,0,593,0,1
"8",8,0.001,2,0.353445183566276,0.00245126958661616,0.00173340200943939,0,0,365,0,0
"9",9,0.001,3,0.800823197662275,0.00203067607166876,0.00487169232277751,0,0,1960,0,10
"10",10,0.001,1,0.278111147122893,0.00184166771272294,0.000512529152460139,0,0,365,0,0
"11",11,0.001,1,0.148569935699925,0.00178624593938999,0.000265584472343039,0,0,365,0,0
"12",12,0.001,1,0.55473152415169,0.00185405437120485,0.00102892732792104,0,0,1539,0,2
"13",13,0.001,1,0.0569965615868568,0.00188623918683132,0.000107604879826084,0,0,365,0,0
"14",14,0.001,0,0.209942117923711,0.0021332238612466,0,0,0,365,0,0
"15",15,0.001,0,0.0988334461580962,0.00219209160224512,0,0,0,365,0,0
"16",16,0.001,0,0.333969143951747,0.00170172314909874,0,0,0,365,0,0
"17",17,0.001,0,0.309353667609116,0.00228590613634587,0,0,0,365,0,0
"18",18,0.001,0,0.173243687208742,0.00153301970365856,0,0,0,365,0,0
"19",19,0.001,0,0.875444797194746,0.0020833980459843,0,0,0,365,0,0
"20",20,0.001,2,0.205663356883451,0.00259339405564127,0.00106754764426131,0,0,365,0,0
"21",21,0.001,0,0.305159336036507,0.00177163152348666,0,0,0,365,0,0
"22",22,0.001,5,0.110416262643412,0.00200952234450284,0.00110991951554229,0,0,365,0,0
"23",23,0.001,0,0.631220158032933,0.0019291034823819,0,0,0,365,0,0
"24",24,0.001,2,0.0347086803987622,0.00193736046085019,0.000134607832527611,0,0,365,0,0
"25",25,0.001,0,0.504654883568115,0.00221445298438558,0,0,0,365,0,0
"26",26,0.001,3,0.140328856185079,0.0018401016800458,0.000775071169482722,0,0,623,0,2
"27",27,0.001,1,0.503545046386249,0.00198004559326904,0.00099753268265379,0,0,989,0,3
"28",28,0.001,3,1.10619069890953,0.00164312616177414,0.00544245328631932,0,0,1308,0,5
"29",29,0.001,1,0.075625649979338,0.00128365262120315,9.71347059302019e-05,0,0,365,0,0
"30",30,0.001,3,0.0112129869319537,0.00203500069175818,6.85227086424378e-05,0,0,365,0,0
"31",31,0.001,0,0.192441245773807,0.00231570587770073,0,0,0,365,0,0
"32",32,0.001,0,0.530301074844725,0.0016231566796277,0,0,0,365,0,0
"33",33,0.001,1,0.905138915024555,0.00208165189509267,0.00188437031207567,0,0,1890,0,8
"34",34,0.001,0,0.0175722640939057,0.00183306136075852,0,0,0,365,0,0
