"","recipient","removal_rate","partners","acts_per_day","transmission_risk_per_act","transmission_risk_per_day","source","infectionTime","sampleTime","cumulative_partners","cumulative_transmissions"
"1",1,5e-04,1,0.526922701273985,0.00219911416227429,0.00115936658676186,0,0,365,0,0
"2",2,5e-04,0,0.221249710755858,0.00178076813263738,0,0,0,365,0,0
"3",3,5e-04,0,0.00864776079542935,0.00256460950001011,0,0,0,365,0,0
"4",4,5e-04,0,0.105364364711568,0.00216881441138237,0,0,0,365,0,0
"5",5,5e-04,0,0.117797956191939,0.00207163415900764,0,0,0,365,0,0
"6",6,5e-04,0,0.570625753302999,0.00176555220356429,0,0,0,365,0,0
"7",7,5e-04,0,0.233488091813836,0.00251318696486366,0,0,0,365,0,0
"8",8,5e-04,0,0.196895091142505,0.00215910901530754,0,0,0,365,0,0
"9",9,5e-04,1,0.115922892233357,0.0012619566038608,0.000146371329395656,0,0,365,0,0
"10",10,5e-04,0,0.424827577163031,0.00217578315105402,0,0,0,365,0,0
"11",11,5e-04,0,0.456938634986131,0.00200536191469277,0,0,0,365,0,0
"12",12,5e-04,0,0.131613502604887,0.00122725566866318,0,0,0,365,0,0
"13",13,5e-04,4,1.25043889239319,0.00225637663661824,0.011235006730731,0,0,365,0,0
"14",14,5e-04,0,0.358532111706648,0.00191693322759289,0,0,0,365,0,0
"15",15,5e-04,0,0.00864462498575449,0.00214712489931372,0,0,0,365,0,0
"16",16,5e-04,2,2.05397164307368,0.00239351349231712,0.00979590793909824,0,0,365,0,0
"17",17,5e-04,0,0.0489624015055597,0.00178061140913254,0,0,0,365,0,0
"18",18,5e-04,1,0.494860807967312,0.00205452003072828,0.0010172295627342,0,0,365,0,0
"19",19,5e-04,0,0.338778121198032,0.00243498559030048,0,0,0,365,0,0
"20",20,5e-04,1,0.087379127042368,0.00203709468565622,0.000178165229594462,0,0,365,0,0
"21",21,5e-04,1,0.347060239209298,0.0444976468891828,0.0156733801108154,16,29,394,0,0
"22",22,5e-04,0,1.17975488466429,0.0381525264980175,0,21,37,402,0,0
"23",23,5e-04,6,1.22043633771347,0.0470259871702115,0.297221322106609,16,58,423,0,0
"24",24,5e-04,0,0.79123760138076,0.0375091124723634,0,23,61,426,0,0
"25",25,5e-04,0,0.169022039417177,0.0350428998808881,0,23,65,430,0,0
"26",26,5e-04,0,0.0397121913263159,0.0375252213472211,0,21,77,442,0,0
"27",27,5e-04,2,0.740124088919318,0.0364376969016197,0.0534618891958618,23,80,445,0,0
"28",28,5e-04,0,0.482250647035368,0.0339369034872055,0,23,97,462,0,0
"29",29,5e-04,3,1.08477409047293,0.0407267926670096,0.126557193089126,23,102,467,0,0
"30",30,5e-04,0,0.119928784389049,0.0406901777809794,0,23,107,472,0,0
"31",31,5e-04,1,0.0251597577240318,0.0425568619842088,0.00109357294715307,23,108,473,0,0
"32",32,5e-04,1,0.340777261542592,0.0342710382897178,0.0118132746475154,27,110,475,0,0
"33",33,5e-04,0,0.313572101096127,0.033022979376121,0,23,112,477,0,0
"34",34,5e-04,0,0.0285561194177717,0.045053590808394,0,29,113,478,0,0
"35",35,5e-04,0,0.3401587112129,0.0338117942758889,0,29,114,479,0,0
"36",36,5e-04,0,0.0398967561680327,0.039538862584363,0,23,115,480,0,0
"37",37,5e-04,0,0.290375139644805,0.0291483492268698,0,23,117,482,0,0
"38",38,5e-04,0,1.157878443722,0.033370826345739,0,29,119,484,0,0
"39",39,5e-04,1,0.255933259264045,0.0574190883640826,0.0150202863902351,29,124,489,0,0
"40",40,5e-04,3,0.972965928861752,0.0339323365474587,0.0958540157182716,27,125,490,0,0
"41",41,5e-04,1,0.0785684360191226,0.0357927229462289,0.00285964353030088,27,127,492,0,0
"42",42,5e-04,0,0.674965959935825,0.0414045313281495,0,23,128,493,0,0
"43",43,5e-04,2,0.952205894837036,0.0361015593377188,0.067628527695918,32,133,498,0,0
"44",44,5e-04,1,0.105224831728265,0.046373904733053,0.00498399419660467,40,133,498,0,0
"45",45,5e-04,0,0.13646515882574,0.0334038527221708,0,29,135,500,0,0
"46",46,5e-04,0,0.553303477889235,0.0310409414369586,0,43,135,500,0,0
"47",47,5e-04,0,0.0291822955012321,0.0351811363409284,0,23,136,501,0,0
"48",48,5e-04,0,0.21196489326132,0.0368134859683274,0,43,137,502,0,0
"49",49,5e-04,1,0.118515960406512,0.0360797832566816,0.00434560683520369,13,140,505,0,0
"50",50,5e-04,0,0.788457093163769,0.0437255035658451,0,40,140,505,0,0
"51",51,5e-04,0,0.201380700431764,0.0409558406657639,0,29,142,507,0,0
"52",52,5e-04,0,0.117076033400372,0.0367119988714256,0,29,143,508,0,0
"53",53,5e-04,6,0.126994982035831,0.0349962685146864,0.0267788056512546,40,144,509,0,0
"54",54,5e-04,2,0.580261337591846,0.0426046490424518,0.0492725322385514,27,145,510,0,0
"55",55,5e-04,7,0.41219890861443,0.0416297724793366,0.115462266785361,29,145,510,0,0
